Text,Topic
"Tirana mposht Erzenin dhe prek “Final Four”, Skënderbeu “fundos” Kukësin",spo
"Nuk ka rikthim në Mynih, Julian Nagelsmann rinovon me kombëtaren e Gjermanisë",spo
"Pothuajse e kryer, ja kush do të jetë trajneri i ardhshëm i Bayern Munich",spo
"Champions League/ “Opta” parashikon finalistët dhe fituesin e trofeut të lavdishëm",spo
"Liverpool mposht Atalantën por eliminohet nga Europa, Leverkusen mbetet e pathyeshme",spo
"Roma triumfon sërish ndaj Milanit dhe kualifikohet në gjysmëfinalen e Europa League",spo
"Ancelotti: “Mbrojtja është mënyra e vetme ndaj Cityt, Guardiola më komplimentoi”",spo
"“Për Roland Garros ia vlen të japësh edhe jetën”, Nadal: Është objektivi im i vetëm",spo
"“Reali ishte ekipi më i mirë”, Henry: Në futboll ka diçka që duhet mbrojtje",spo
"Guardiola flet pas humbjes: “Përgëzime Realit, u mbrojtën dhe rezistuan deri në fund”",spo
"Prezantohet projekti i kampusit të Akademisë së Futbollit Manchester City",spo
"Ruleta e penalltive i buzëqesh Los Blancos, Real Madrid triumfon ndaj Manchester Cityt",spo
"VIDEO/ Bayern Munich mposht minimalisht Arsenalin dhe kualifikohet në gjysmëfinale",spo
"Bayern Munich pret Arsenalin në “Allianz Arena”, formacionet zyrtare të sfidës",spo
"Përballje titanësh në “Etihad”, formacionet zyrtare të sfidës Man. City-Real Madrid",spo
"Kartoni i kuq, Gundogan del kundër Araujos: “Na penalizoi të gjithëve”",spo
"Al-Khelaifi: “Arritje madhështore nga skuadra, do i shkojmë Championsit deri në fund”",spo
"Duka prezanton projektin e kampusit të Manchester Cityt: “Gati të bëhemi si Cityzen”",spo
"Manchester City sjell kupat në Shqipëri, nis sot ekspozita unike në Kryeministri!",spo
"Dortmund thyen në mënyrë spektakolare Atleticon dhe kualifikohet në gjysmëfinalen",spo
"PSG “shkelmon” Barcelonën jashtë Championsit, katalanasit nuk rezistojnë me 10-të lojtarë",spo
"Spektakël i garantuar, formacionet zyrtare të sfidës Barcelona-PSG",spo
"Guardiola paralajmëron Ancelottin: “Jam katalanas, nuk i trembem Realit”",spo
"Rekorde dhe spektakël, 21-vjeçari Cole Palmer mahnit Chelsean",spo
"Lampard refuzon kombëtaren amerikano-veriore: “Pres ofertën dhe klubin e duhur”",spo
"VIDEO/ Mbetet e hapur gara për vendin e katërt, Atalanta bën “vetëvrasje” ndaj Veronës",spo
"Chelsea shkatërron Evertonin në “Stamford Bridge”, Palmer realizon “Poker-in” e parë",spo
"Lëndimi serioz i Kingsley Coman, tek Franca nisin shqetësimet përpara Europianit",spo
"Onana rikthehet në “San Siro”: “Interi është familja ime, dua të përgëzoj skuadrën”",spo
"Granit Xhaka: “Zhvilluam një sezon të madh, tani duam më shumë dhe trofe të tjerë”",spo
"VIDEO/ Inter “ngec” në barazim ndaj Cagliarit, shtyhet festa e titullit për zikaltërit",spo
"Klopp reagon pas humbjes: “Nuk kemi asgjë në dorë, shpërdoruam raste në pjesën e dytë”",spo
"Xabi Alonso: “Triumf historik dhe i merituar, tani duam kupën dhe Europa League”",spo
"Aston Villa befason Arsenalin në “Emirates Stadium”, City merr “timonin” e Premierligës",spo
"Pritjes i vjen fundi, Bayer Leverkusen e Xabi Alonsos shpallet kampion i Bundesligës",spo
"Disfatë në “Anfield”, Liverpool mposhtet nga Crystal Palace dhe humbet “terren”",spo
"VIDEO/ Inter Miami rikthehet tek fitorja në MLS, Leo Messi realizon një tjetër supergol",spo
"Milan pëson disfatë në “San Siro”, Roma mposht minimalisht kuqezinjtë e Piolit",spo
"Befasi në Europa League, Atalanta shkatërron Liverpoolin në “Anfield Road”",spo
"Braktisën finalen e Superkupës, Federata Turke gjobit Fenerbahcen dhe pezullon trajnerin",spo
"Luis Enrique: “Humbëm kundër një kundërshtari të shkëlqyer, mund ta përmbysim rezultatin”",spo
"4 vite kontratë dhe pagë stratosferike, PSG e “fiksuar” me Victor Osimhen",spo
"“Suksesi erdhi edhe nga La Masia”, Xavi: Jam shumë krenar për ekipin tim”",spo
"Real-Siti, një nga arsyet pse futbolli mbetet sporti më i dashur",spo
"VIDEO/ Atletico Madrid “mbret” në Spanjë, Los Colchoneros thyen Dortmundin",spo
"Pioli: “Milani im është modern, nuk jemi shumë larg Realit apo Manchester Cityt”",spo
"Laporta: “Nuk do të ndryshoja asnjë nga lojtarët e mi për një nga PSG, jemi të motivuar”",spo
"Formula 1/ Carlos Sainz në qendër të “merkatos” për sezonin 2025, ja ku mund të shkojë",spo
"Mbyllet në barazim sfida mes Arsenal dhe Bayern, bavarezët tregojnë “forcën” e vërtetë",spo
"Çmenduri në “Santiago Bernabeu”, barazim spektakolar mes Real Madrid dhe Manchester City",spo
"Revolucion total tek Bayern Munich, vetëm pesë lojtarë mbeten të paprekur",spo
"Koreografi fenomenale në Madrid, UEFA jep lejen për mbylljen e çatisë të  Bernabeut",spo
"Një portugez në pankinën e Reds, Liverpool gjen zëvendësuesin e Klopp",spo
"Goditi me brryl kundërshtarin, gjobë dhe pezullim për Cristiano Ronaldin",spo
"Nuk kanë fund problemet për Evertonin, “Tofees” dënohet sërish me zbritje pikësh",spo
"Salah e sheh të ardhmen larg Liverpoolit, zëvendësuesi i tij do të jetë një 16-vjeçar….",spo
"23 apo 26 lojtar në Europian, UEFA zhvillon sot dhe nesër mbledhjen në Dusseldorf",spo
"Klubi i Fenerbahces reagon pas braktisjes së Superkupës: “Rebelim ndaj padrejtësive”",spo
"Juventus rikthehet tek triumfi në Serie A dhe mposht minimalisht Fiorentinën",spo
"Galatasaray fiton Superkupën pas 3 minutash, lojtarët e Fenerbahces braktisin fushën",spo
"Barazim spektakolar mes United dhe Liverpool, Arsenal merr kryesimin e Premier League",spo
"Szczesny njofton tërheqjen nga kombëtarja e Polonisë: “Është koha për të rinjtë”",spo
"F1/ Verstappen fluturon në Çmimin e Madh të Japonisë, tjetër podium për Carlos Sainz",spo
"Roma fiton derbin e qytetit ndaj Lazios dhe mbetet në garë për një vend në Champions",spo
"Arsenali nuk gabon në transfertën e Brighton dhe merr kryesimin e Premier League",spo
"Leverkusen pa limite dhe e sigurt drejt titullit, Bayern mposhtet turpshëm nga Heidenheim",spo
"Milan shkëlqen në Serie A dhe triumfon bindshëm në “San Siro” ndaj Lecces",spo
"Manchester City gjen “rrugën” dhe triumfon me poker në transfertën e Crystal Palace",spo
"Formula 1/ Verstappen merr “Pole Position” në Japoni, zhgënjen Leclerc",spo
"Problemet e Mercedes F1, Toto Wolff do marrë pjesë në Çmimin e Madh të Japonisë",spo
"Tragjedi në botën e futbollit, vritet futbollisti 24-vjeçar nga Afrika e Jugut",spo
"Goli më i bukur i muajit mars, tifozët e Interit të dashuruar më Asllanin",spo
"Arsenali triumfon ndaj Lutonit dhe merr përkohësisht kryesimin e Premier League",spo
"Dhuna e tifozëve ndaj lojtarëve të Fenerbahces, federata merr vendimin për Trabzonsporin",spo
"Spektakël në “Air Albania”, Dinamo mposht Teutën në kohën shtesë dhe merr vendin e katërt",spo
"Kupa e Shqipërisë/ Kukësi thyen pastër Tiranën, Egnatia mposht Vllazninë",spo
"Besnik ndaj “bluve” të Londrës, Reece James refuzon Real Madridin",spo
"Nuk luajtën prej “infeksionit bakterial”, Koreja e Veriut e humbet ndeshjen në tavolinë",spo
"Ndodh edhe kjo, shtrati i hotelit ku fjeti Cristiano Ronaldo del në ankand",spo
"Napoli ëndërron Conten, De Laurentiis ka një dhuratë speciale për ta bindur",spo
"Rodrygo i “dashuruar” me Realin, braziliani refuzon 5 klube për qëndrimin tek Los Blancos",spo
"Bologna shkatërron Salernitanan dhe vazhdon ëndrrën, Juventus në rrezik",spo
"Mesfushori francez i “shkel syrin” Milanit: “Klub madhështor”",spo
"Teuta fluturon në Superiore, durrsakët ëndërrojnë kualifikimin në “Final Four”",spo
"Tenis/ Yll i ri në “horizont”, Jannik Sinner kampion absolut i Miami ATP",spo
"Ndeshje e “vakët” në Etihad, Manchester City dhe Arsenal ndahen në barazim",spo
"Liverpool përmbys Brightonin dhe merr përkohësisht kreun e Premier League",spo
"Përballje direkt për titull mes Cityt dhe Arsenalit, publikohen formacionet zyrtare",spo
"Dramë në sfidën mes Brentford dhe Man. United, “Djajtë” nuk arrijnë të ruajnë avantazhin",spo
"Milan nuk di të ndalet, kuqezinjtë triumfojnë edhe ndaj Fiorentinës në “Artemio Franchi”",spo
"Tottenham përmbys Lutonin dhe prek zonën Champions, Chelsea ngec në shtëpi ndaj Burnleyt",spo
"Leverkusen arrin përmbysje spektakolare ndaj Hoffenheim, “Aspirinat” shumë pran titullit",spo
